Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
985,Song Sparrow,SOSP,Melospiza melodia,"VAFB, Santa Ynez River downstream of 13th St",5 Jul 2005,Dave Compton,Feeding Fledgling,,,Adult feeding begging juvenile,,34.6762032,-120.5584385,10,6,,"MSE field notes, Vandenberg 2005",-13420503.984652188,4119965.0517161866
987,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",5 Jul 2005,Dave Compton,Juvenile Independent,,,Family group: 2 adults and 2 young feeding selves,,34.6796664,-120.5688787,30,6,,"MSE field notes, Vandenberg 2005",-13421666.182399968,4120433.8490229654
988,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",5 Jul 2005,Dave Compton,Fledgling Begging,,,"Very mobile fledgling, with full length tail, but begging and near singing male",,34.679757,-120.565744,30,7,,"MSE field notes, Vandenberg 2005",-13421317.229192177,4120446.1133875274
989,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",5 Jul 2005,Dave Compton,Juvenile Independent,,,Juvenile feeding self,,34.6787577,-120.563558,10,6,,"MSE field notes, Vandenberg 2005",-13421073.884785304,4120310.8406252493
990,Common Merganser,COME,Mergus merganser,Cachuma Lake,6 Jul 2005,Liz Mason,Fledgling under Parental Care,,,Female with 4 chicks,seen again 10 July 2005,34.58002,-119.95273,1000,72,,Observer,-13353076.82286303,4106952.99897666
991,Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis [guttatus Group],"Goleta Slough, Tecolotito Ck",7 Jul 2005,Dave Compton,Juvenile Independent,,,Juvenile feeding self,,34.4244269,-119.8505244,30,2,,"Compton field notes, airport project for URS",-13341699.34751481,4085935.56592508
992,Cassin's Kingbird,CAKI,Tyrannus vociferans,"Goleta Slough, Area K",7 Jul 2005,Dave Compton,Fledgling with Presumed Parent,,,2 juveniles accompanied by 1 adult (no feeding witnessed),,34.4218,-119.84856,50,1,,"Compton field notes, airport project for URS",-13341480.671507096,4085581.0619808827
993,Cassin's Kingbird,CAKI,Tyrannus vociferans,"Goleta Slough, nr Area L/M",7 Jul 2005,Dave Compton,Juvenile Independent,,,4 juveniles feeding selves,,34.4238948,-119.8513113,30,1,,"Compton field notes, airport project for URS",-13341786.944822116,4085863.7573629427
994,Green Heron,GRHE,Butorides virescens,Goleta Sanitary District Plant,7 Jul 2005,Wes Fritz,Fledgling out of Nest--Brancher,Myoporum,4.5,2 juveniles fledging from a nest,,34.4238244,-119.8326312,30,5,,,-13339707.485602146,4085854.256696604
996,Great Horned Owl,GHOW,Bubo virginianus,"VAFB, Santa Ynez River nr De Wolff",10 Jul 2005,Dave Compton,Juvenile Independent,,,Fledgling alone,,34.68222,-120.52174,30,28,,"MSE field notes, Vandenberg 2005",-13416418.72631931,4120779.530558492
997,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"N VAFB, nr Terra Rd x 13th St",10 Jul 2005,Wes Fritz,Fledgling under Parental Care,,,Adult tending 2 fledglings,,34.6832949,-120.5466185,20,11,,,-13419188.188271012,4120925.0432558763
998,Mallard,MALL,Anas platyrhynchos,"VAFB, Santa Ynez River nr De Wolff",10 Jul 2005,Dave Compton,Fledgling under Parental Care,,,Female with 2 chicks less than 7days old,,34.6815673,-120.521395,0,10,,"MSE field notes, Vandenberg 2005",-13416380.321094988,4120691.173365487
999,Mallard,MALL,Anas platyrhynchos,"VAFB, Santa Ynez River nr Union Sugar",10 Jul 2005,Dave Compton,Fledgling under Parental Care,,,Female with 1 chick 2/3 adult size,,34.679748,-120.5459702,0,10,,"MSE field notes, Vandenberg 2005",-13419116.01984513,4120444.895072566
1000,Song Sparrow,SOSP,Melospiza melodia,"VAFB, Santa Ynez River nr De Wolff",10 Jul 2005,Dave Compton,Fledgling under Parental Care,,,Juvenile accompanied by adult,,34.6813351,-120.5254942,10,11,,"MSE field notes, Vandenberg 2005",-13416836.641951647,4120659.740194676
1001,Tree Swallow,TRES,Tachycineta bicolor,"N VAFB, Wildlife Management Ponds",10 Jul 2005,Wes Fritz,Cavity Nester Attending Cavity,,1.5,Adult entering nest box and staying inside for at least several minutes,,34.6820607,-120.5628282,75,8,,,-13420992.643820921,4120757.9657618282
1002,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, Wildlife Management Ponds",11 Jul 2005,Dave Compton,No suitable category,,,Fledgling call heard,[MAH: refer to original note to clarify 1 record or two.],34.6870666,-120.5611535,40,12,,"MSE field notes, Vandenberg 2005",-13420806.217069691,4121435.6454557558
1004,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, Wildlife Management Ponds",11 Jul 2005,Dave Compton,No suitable category,,,Fledgling call heard,S of main ponds,34.6818559,-120.5652133,30,8,,"MSE field notes, Vandenberg 2005",-13421258.151938414,4120730.2415895364
1005,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",11 Jul 2005,Dave Compton,Feeding Fledgling,,,Adult feeding fledgling,,34.6864183,-120.5611943,15,12,,"MSE field notes, Vandenberg 2005",-13420810.758904915,4121347.8787589264
1006,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Wildlife Management Ponds",11 Jul 2005,Dave Compton,Fledgling Begging,,,"Begging fledgling (very gray overall) in company of adult, but possibly able to feed self.",,34.6866398,-120.5592015,10,13,,"MSE field notes, Vandenberg 2005",-13420588.921423662,4121377.86529793
1007,American Coot,AMCO,Fulica americana,"Goleta Slough, Area K",13 Jul 2005,Dave Compton,Fledgling with Presumed Parent,,,"1-2 week old chick (very dark, with red bill; no plumes visible, but they may be present)",,34.4220274,-119.8509868,30,1,,"Compton field notes, airport project for URS",-13341750.821647353,4085611.749498532
1008,Northern Mockingbird,NOMO,Mimus polyglottos,"Goleta Slough, Area L/M",13 Jul 2005,Dave Compton,Carrying Food,,,Adult carrying food (large insect) into Atriplex shrub,,34.4223319,-119.8483647,50,1,,"Compton field notes, airport project for URS",-13341458.930810543,4085652.8417537985
1009,Western Kingbird,WEKI,Tyrannus verticalis,"Ellwood Mesa, West",13 Jul 2005,John Storrer,Feeding Fledgling,,,Adult feeding begging fledgling,Two adults were seen at this location on 29 June 2005.  nr Ellwood School,34.42864,-119.89786,40,22,,,-13346968.722403204,4086504.1531071863
1010,Mallard,MALL,Anas platyrhynchos,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",14 Jul 2005,Dave Compton,Fledgling under Parental Care,,,Female with 10 chicks 10-12 days old,,34.6799878,-120.5678216,0,7,,"MSE field notes, Vandenberg 2005",-13421548.50656625,4120477.356443089
1012,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River nr 13th St",14 Jul 2005,Dave Compton,Fledgling Begging,,,Begging fledgling (full-length tail) in company of adult female (no feeding witnessed),,34.6766045,-120.5555241,10,6,,"MSE field notes, Vandenberg 2005",-13420179.555128219,4120019.3728300175
1013,Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis [guttatus Group],"Goleta Slough, Area A",15 Jul 2005,Dave Compton,Juvenile Independent,,,2 juveniles feeding selves,,34.4192771,-119.8386344,10,1,,"Compton field notes, airport project for URS",-13340375.758769277,4085240.6034718114
1014,Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis [guttatus Group],"Goleta Slough, nr Area B-D",15 Jul 2005,Dave Compton,Fledgling with Presumed Parent,,,2 juveniles in a flock with 4 adults,,34.4232667,-119.8434469,10,1,,"Compton field notes, airport project for URS",-13340911.48381872,4085778.993888175
1015,Mallard,MALL,Anas platyrhynchos,"Santa Ynez Mtns, Windermere",15 Jul 2005,Mark Holmgren,Family Group in Close Association,,,f with 2 downy chicks that appear to be at least a week old, pond 60m SE Larson property at 5797 West Camino Cielo,34.50039,-119.82507,60,676,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338865.77666836,4096191.720126101
1016,Cinnamon Teal,CITE,Spatula cyanoptera,"Goleta, COPR, Devereux Slough",17 Jul 2005,Mark Holmgren,Fledgling under Parental Care,,,Adult with 2 full-grown young,,34.41412,-119.87568,0,2,,COPR 17 July 2005.pdf,-13344499.65609741,4084544.6987783983
1017,American Coot,AMCO,Fulica americana,"Goleta Slough, Area K",19 Jul 2005,Dave Compton,Fledgling with Presumed Parent,,,2 7-day-old chicks (overall very black and still with plumes on head),"With Lentz, J.",34.4205773,-119.8490013,30,2,,Compton field notes,-13341529.79679838,4085416.060650821
1018,Brown-headed Cowbird,BHCO,Molothrus ater,Goleta Sanitary District Plant,19 Jul 2005,Dave Compton,Host - Brood Parasite Interaction,,,"Fledgling making begging sounds, but no feeding witnessed and host species not detected","With Lentz, J.",34.4251086,-119.8316737,30,3,,Compton field notes,-13339600.89718971,4086027.564143785
1019,Gadwall,GADW,Mareca strepera,"Goleta Slough, Area A",19 Jul 2005,Dave Compton,Fledgling under Parental Care,,,Adult female with 2 chicks 1-2 weeks old,"With Lentz, J.",34.4204975,-119.8481719,30,1,,Compton field notes,-13341437.468412718,4085405.29185751
1020,Northern Rough-winged Swallow,NRWS,Stelgidopteryx serripennis,Goleta Sanitary District Plant,19 Jul 2005,Dave Compton,Family Group in Close Association,,,6 fledglings gathered together on a wire. No adults seen.,"With Lentz, J.",34.4243841,-119.8310401,30,4,,Compton field notes,-13339530.365160344,4085929.789914079
1023,American Robin,AMRO,Turdus migratorius,"Goleta, S Patterson Ave ag fields",24 Jul 2005,Mark Holmgren,Feeding Fledgling,,,Adult feeding fledgling in lemon grove,,34.4324158,-119.8146549,50,9,,,-13337706.373039799,4087013.747960498
1024,Bell's Sparrow,BESP,Artemisiospiza belli,"Burton Mesa, E of Santa Lucia Canyon",24 Jul 2005,Larry Ballard,Fledgling under Parental Care,,,Adult with 2 juveniles,,34.7032839,-120.4896917,50,113,,,-13412851.12588252,4123631.3632963733
1026,Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis [guttatus Group],"Goleta Slough, nr Area E/F",29 Jul 2005,Dave Compton,Fledgling under Parental Care,,,"Very young fledgling with extensively pale, nestling-like bill, virtually no tail, and able to fly only very short distances; calling constantly. 2 weeks, possibly less, since hatching.",,34.4262141,-119.8473325,30,2,,"Compton field notes, airport project for URS",-13341344.026832147,4086176.757510231
1027,American Coot,AMCO,Fulica americana,"Goleta Slough, Area K",30 Jul 2005,Mark Holmgren,Fledgling with Presumed Parent,,,group of 5 chicks with red heads,With Dave Compton,34.42137,-119.8490013,30,2,,Compton field notes,-13341529.79679838,4085523.033921459
1028,Ruddy Duck,RUDU,Oxyura jamaicensis,"Goleta, Mesa x Los Carneros Rd, NE",30 Jul 2005,Mark Holmgren,Fledgling under Parental Care,,,"3+ half-grown chicks, with adult female nearby",With Andy Webster,34.42447,-119.85852,100,5,,Compton field notes,-13342589.413635395,4085941.382425127
1029,American Robin,AMRO,Turdus migratorius,"Carpinteria, Rincon Ck x Bates Rd",5 Aug 2005,Jim Greaves,Fledgling Begging,,,"""Full-grown"" juvenile, but begging and still spotted, under parental care",,34.3791073,-119.4752407,75,19,,,-13299922.957127793,4079821.180930606
1030,Lesser Goldfinch,LEGO,Spinus psaltria,"Ellwood, Haskell's Beach",22 Aug 2005,Dave Compton,Nestling in Nest,,2.5,"Adult tending 3 nestlings. The nestlings were of varying ages, with the oldest well feathered on the body and possibly near fledging age and the youngest fairly large and sitting up, but with closed eyes and only the beginnings of juvenile feathers coming in on head.",Very late date,34.43316,-119.91587,30,12,,Compton field notes,-13348973.58643239,4087114.1904480723
1031,Great-tailed Grackle,GTGR,Quiscalus mexicanus,"Santa Barbara, Andree Clark Bird Refuge",28 Aug 2005,Dave Compton,Feeding Fledgling,,,"Adult delivering food to reeds where 2 fresh fledglings (bare around eye, tail half grown, bill three quarters grown) are stationary and perched close together.",,34.4216427,-119.6580715,50,1,,Compton field notes,-13320275.588685121,4085559.8344724355
1032,Great-tailed Grackle,GTGR,Quiscalus mexicanus,"Santa Barbara, Andree Clark Bird Refuge",28 Aug 2005,Dave Compton,Fledgling under Parental Care,,,"Pair attending juvenile male (brown eye, but dark male feathers growing in on wing)",,34.4216441,-119.6580063,50,1,,Compton field notes,-13320268.330654321,4085560.0234011323
1033,California Towhee,CALT,Melozone crissalis,"Goleta, Atascadero Ck",1 Sep 2005,Dave Compton,Fledgling Begging,,,Begging fledgling under parental care. Apparent feeding witnessed, nr San Marcos Rd,34.427302,-119.794593,120,10,,Compton field notes,-13335473.092547454,4086323.5775850215
1034,Northern Mockingbird,NOMO,Mimus polyglottos,"Santa Barbara, Laguna Ck x Southern Pacific Railroad",1 Sep 2005,Dave Compton,Fledgling Begging,,,"Begging fledgling (2/3 grown tail, yellow gape, flies somewhat awkwardly) attended by adult approaching reluctantly with food item in my presence",,34.415414,-119.6856775,10,3,,Compton field notes,-13323348.674547961,4084719.308515352
1035,Scaly-breasted Munia,SBMU,Lonchura punctulata,"Goleta, Atascadero Ck",9 Jan 2005,Dave Compton,Feeding Fledgling,,,"2 adults attending 5 begging fledglings gathered in willow; feeding witnessed, but juveniles also were picking at leaves",near Walnut Lane,34.4259327,-119.799425,75,8,,Compton field notes,-13336010.988326967,4086138.780829768
1036,White-tailed Kite,WTKI,Elanus leucurus,"Goleta, Lake Los Carneros Natural and Historical Preserve",16 Sep 2005,Joan Lentz,Nestling in Nest,Monterey Pine,,Male standing sentinel and female closely tending a nest with two small chicks visible.,,34.4401148,-119.844203,100,10,,,-13340995.65248571,4088052.902611511
1037,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, nr West Camino Cielo 1 mi S of SR154",18 Sep 2005,Mark Holmgren,Fledgling under Parental Care,,,"Adults with at least 7 young no more than 4 inches long, but able to fly.",Seen again on 20 September,34.5020448,-119.82392,20,672,,Observer,-13338737.759253949,4096415.2467972077
1038,Scaly-breasted Munia,SBMU,Lonchura punctulata,"Goleta, nr Ekwill and S. Patterson Ave.",18 Sep 2005,Rebecca Coulter,Nest Building,ornamental,,Adult gathering nesting material in Pampas grass and making repeated trips to nearby ornamental tree.,,34.4311575,-119.813318,30,10,,,-13337557.550012557,4086843.920940848
1039,Scaly-breasted Munia,SBMU,Lonchura punctulata,"Goleta, near S. Patterson Ave",18 Sep 2005,Mark Holmgren,Feeding Fledgling,,,Two adults feeding four begging fledglings,With Dave Compton,34.4277222,-119.8141384,50,5,,Compton field notes,-13337648.876522806,4086380.2871648856
1040,Spotted Towhee,SPTO,Pipilo maculatus,Carpinteria Ck,20 Sep 2005,Dave Compton,Feeding Fledgling,,,Adult feeding begging fledgling with rufous sides coming in, nr US 101,34.3938787,-119.5086499,50,15,,Compton field notes,-13303642.052259605,4081813.730324215
1041,California Quail,CAQU,Callipepla californica,"Santa Barbara, Calle Real nr El Sueno Rd",22 Sep 2005,Brian Trautwein,Fledgling under Parental Care,,,"Female with fluffy, tangerine-sized chicks",,34.4415328,-119.7663462,50,40,,Observer,-13332328.673154915,4088244.3043108676
1042,Scaly-breasted Munia,SBMU,Lonchura punctulata,"Goleta, Atascadero Ck",18 Oct 2005,Dave Compton,Feeding Fledgling,,,Adult feeding four begging juveniles, between Walnut and S. Patterson,34.4253111,-119.8041255,100,5,,Compton field notes,-13336534.24559344,4086054.8924961477
1043,Allen's Hummingbird,ALHU,Selasphorus sasin,"Santa Barbara, Old Mission Ck at Figueroa St.",2 Oct 2006,David Kisner,Adult at Nest (clarify),,,Female on nest,,34.4157612,-119.7103807,50,17,,Observer,-13326098.622192923,4084766.159439253
1044,Red-tailed Hawk,RTHA,Buteo jamaicensis,"Goleta, Santa Barbara Municipal Airport, nr west end of main runway",16 Feb 2006,Dave Compton,Nest Building,metal tower,20,Pair building nest.,,34.42868,-119.85132,20,20,,Observer,-13341787.913301684,4086509.5515230475
1045,Song Sparrow,SOSP,Melospiza melodia,"Goleta, San Jose Ck",18 Feb 2006,Dave Compton,Carrying Nesting Material,,,Pair; two nest material carries witnessed,nr Cathedral Oaks,34.4541249,-119.8129787,15,31,,Observer,-13337519.779309332,4089944.129031918
1046,Bewick's Wren,BEWR,Thryomanes bewickii,"Goleta, Tecolotito Ck",22 Feb 2006,Dave Compton,Carrying Nesting Material,,,"Nest material carry, probably grasses.",nr Los Carneros Rd,34.4324948,-119.8593931,59,6,,Observer,-13342686.60668281,4087024.4103159676
1047,Anna's Hummingbird,ANHU,Calypte anna,"Santa Barbara, Bohnett Park",24 Feb 2006,Jim Greaves,Adult at Nest (clarify),oak,,Female on nest,,34.4177823,-119.7135461,50,20,,Observer,-13326450.992909081,4085038.8891141135
1048,Anna's Hummingbird,ANHU,Calypte anna,"Goleta, COPR, Devereux Slough",26 Feb 2006,Jim Greaves,Nestling in Nest,Eucalyptus,,Nest with young,,34.4152256,-119.8742935,30,2,,Observer,-13344345.311623422,4084693.8860332156
1049,Anna's Hummingbird,ANHU,Calypte anna,"Goleta, Tecolotito Ck",26 Feb 2006,Guy Tingos,Nest Building,willow,2,"Female building nest, nearly complete","At Los Carneros Rd.  With Dave Compton  On 18 March 2006, Compton found Female on nest with 1+ eggs.",34.4320984,-119.8589989,25,6,,Observer,-13342642.724539539,4086970.9096870744
1050,Bushtit,BUSH,Psaltriparus minimus,"Santa Maria, Waller Park",26 Feb 2006,Dave Compton,Carrying Nesting Material,,,Adult gathering nesting material,Area 3,34.903201,-120.4417759,75,79,,Observer,-13407517.163425567,4150734.315009502
1051,Great Blue Heron,GBHE,Ardea herodias,"Goleta, SoCal Gas Plant, nr Goleta Slough mouth",13 Mar 2006,Jim Greaves,Nest in Use (clarify),Eucalyptus,,"15+ birds in nests. 23 March 2006, Millikan saw 2 nests with 2 downy young.  On 25 April 2006, Holmgren counted a minimum of 15 active nests. In May, Holmgren counted at least 15 active GBH nests. On 17 July 2006, Holmgren reports 2 or 3 nests of Great Blue Herons still held nestlings.  20 August 2006, Braunger with Compton, D; Wes Fritz saw Nest with 2 large nestlings. Last remaining active nest in rookery for the year.",,34.4184,-119.82847,50,3,,GBH Rookery at GB 26 Apr 06.doc,-13339244.26293706,4085122.2436132366
